Path,File,Song,Type,Difficulty,Rating,NPS,Peak NPS,% Under .5x NPS,% Over 2x NPS,% Over 3x NPS,% Over 4x NPS,Total Steps,L,D,U,R,L,D,U,R,%L,%D,%U,%R,%L,%D,%U,%R
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Zoan Zound","steps.sm","Zoan Zound","dance-double","Challenge",11,6.53815266295705,10.0001000010003,0.0122850122850123,0,0,0,814,35,78,99,178,188,90,100,46,0.042997542997543,0.0958230958230958,0.121621621621622,0.218673218673219,0.230958230958231,0.110565110565111,0.122850122850123,0.0565110565110565,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Yamatanoorochi","Yamatanoorochi.sm","Yamatanoorochi","dance-double","Challenge",12,6.53033087234937,17.5002625039379,0.133004926108374,0.0952380952380952,0,0,609,22,47,61,157,174,69,55,24,0.0361247947454844,0.077175697865353,0.100164203612479,0.257799671592775,0.285714285714286,0.113300492610837,0.090311986863711,0.0394088669950739,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\WiFi Tears","WiFi Tears.sm","WiFi Tears","dance-double","Challenge",11,5.60555404936488,15.2276534186088,0.172073342736248,0.0719322990126939,0,0,709,33,65,74,177,180,86,64,30,0.0465444287729196,0.0916784203102962,0.104372355430183,0.249647390691114,0.253878702397743,0.1212976022567,0.0902679830747532,0.0423131170662905,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Swing Break","song.sm","Swing Break","dance-double","Challenge",11,5.78528345080304,11.0000110000114,0.0321100917431193,0,0,0,654,49,58,72,162,159,52,65,37,0.0749235474006116,0.0886850152905199,0.110091743119266,0.247706422018349,0.243119266055046,0.0795107033639144,0.099388379204893,0.0565749235474006,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Stay the Course","steps.sm","Stay the Course","dance-double","Challenge",13,7.48784392708304,17.5334011291527,0.0449438202247191,0.0337078651685393,0,0,890,35,82,106,201,214,98,107,47,0.0393258426966292,0.0921348314606742,0.119101123595506,0.225842696629213,0.240449438202247,0.110112359550562,0.120224719101124,0.0528089887640449,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Spider's Blood","Spider's Blood.sm","Spider's Blood","dance-double","Challenge",12,6.68752963362968,16.4001640016398,0.0534883720930233,0.00348837209302326,0,0,860,46,92,101,181,191,105,100,44,0.0534883720930233,0.106976744186047,0.117441860465116,0.21046511627907,0.222093023255814,0.122093023255814,0.116279069767442,0.0511627906976744,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Something Wild","Something Wild.sm","Something Wild","dance-double","Challenge",9,4.6456790101949,14.1332768002279,0.00704225352112676,0,0.0105633802816901,0,568,27,37,67,125,137,65,74,36,0.0475352112676056,0.0651408450704225,0.117957746478873,0.220070422535211,0.241197183098592,0.11443661971831,0.130281690140845,0.0633802816901408,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Smile For The Paparazzi","Smile For The Paparazzi.sm","Smile For The Paparazzi","dance-double","Challenge",9,4.75963965884972,13.8667406226173,0.0440944881889764,0.0125984251968504,0,0,635,35,53,66,150,160,58,73,40,0.0551181102362205,0.0834645669291339,0.103937007874016,0.236220472440945,0.251968503937008,0.0913385826771654,0.11496062992126,0.062992125984252,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\seedy try","seedy try.sm","seedy try","dance-double","Challenge",10,6.19478528557482,14.0001120008965,0.0363951473136915,0.117850953206239,0,0,577,34,58,60,137,141,67,56,24,0.0589254766031196,0.10051993067591,0.103986135181976,0.237435008665511,0.244367417677643,0.116117850953206,0.097053726169844,0.0415944540727903,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Rubber Human","Rubber Human.sm","Rubber Human","dance-double","Challenge",10,4.57718122034143,16.5332980622987,0.0888888888888889,0.00606060606060606,0.00606060606060606,0,495,18,52,59,120,113,55,62,16,0.0363636363636364,0.105050505050505,0.119191919191919,0.242424242424242,0.228282828282828,0.111111111111111,0.125252525252525,0.0323232323232323,
